pl_name,hostname,pl_letter,sy_pnum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,discoverymethod,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,_pull_date,_catalog
2MASS J19383260+4603591 b,2MASS J19383260+4603591,b,3,0.92,0.02,-0.02,406.0,4.0,-4.0,0.33,0.05,-0.05,1.9,0.1,-0.1,Mass,1.2,,,Eclipse Timing Variations,0.48,,,0.203,0.001,-0.001,2026-04-27,NASA Exoplanet Archive — pscomppars
Kepler-451 c,2MASS J19383260+4603591,c,3,,,,1460.0,90.0,-90.0,0.29,0.07,-0.07,1.61,0.14,-0.14,Msini,1.21,,,Eclipse Timing Variations,0.48,,,0.203,0.001,-0.001,2026-04-27,NASA Exoplanet Archive — pscomppars
Kepler-451 d,2MASS J19383260+4603591,d,3,,,,43.0,0.1,-0.1,0.0,,,1.76,0.18,-0.18,Msini,1.2,,,Eclipse Timing Variations,0.48,,,0.203,0.001,-0.001,2026-04-27,NASA Exoplanet Archive — pscomppars
47 UMa b,47 UMa,b,3,2.1,0.02,-0.02,1078.0,2.0,-2.0,0.032,0.014,-0.014,2.53,0.07,-0.06,Msini,1.18,,,Radial Velocity,1.06,0.128402,-0.137608,1.21334,0.038883,-0.058353,2026-04-27,NASA Exoplanet Archive — pscomppars
47 UMa c,47 UMa,c,3,3.6,0.1,-0.1,2391.0,100.0,-87.0,0.098,0.047,-0.096,0.54,0.066,-0.073,Msini,1.27,,,Radial Velocity,1.06,0.128402,-0.137608,1.21334,0.038883,-0.058353,2026-04-27,NASA Exoplanet Archive — pscomppars
47 UMa d,47 UMa,d,3,11.6,2.1,-2.9,14002.0,4018.0,-5095.0,0.16,0.09,-0.16,1.64,0.29,-0.48,Msini,1.2,,,Radial Velocity,1.06,0.128402,-0.137608,1.21334,0.038883,-0.058353,2026-04-27,NASA Exoplanet Archive — pscomppars
55 Cnc b,55 Cnc,b,7,0.118,0.002,-0.002,14.651552,3.6e-05,-3.6e-05,0.0029,0.0027,-0.002,0.8306,0.0033,-0.0033,Mass,1.24,,,Radial Velocity,1.015,0.051,-0.051,0.98,0.016,-0.016,2026-04-27,NASA Exoplanet Archive — pscomppars
55 Cnc c,55 Cnc,c,7,0.247,0.004,-0.004,44.3936,0.0024,-0.0024,0.088,0.23,-0.23,0.1714,0.0055,-0.0055,Mass,0.76,,,Radial Velocity,1.015,0.051,-0.051,0.98,0.016,-0.016,2026-04-27,NASA Exoplanet Archive — pscomppars
55 Cnc d,55 Cnc,d,7,5.6,0.1,-0.1,4799.0,4.9,-15.0,0.0913,0.0067,-0.0067,3.878,0.068,-0.068,Mass,1.16,,,Radial Velocity,1.015,0.051,-0.051,0.98,0.016,-0.016,2026-04-27,NASA Exoplanet Archive — pscomppars
55 Cnc e,55 Cnc,e,7,0.01544,5e-05,-5e-05,0.7365474,1.3e-06,-1.4e-06,0.05,0.03,-0.03,0.02513923,0.00100683,-0.00103829,Mass,0.1672763,0.00258721,-0.00258721,Radial Velocity,0.905,0.015,-0.015,0.943,0.01,-0.01,2026-04-27,NASA Exoplanet Archive — pscomppars
55 Cnc f,55 Cnc,f,7,0.802,0.014,-0.014,260.58,0.15,-0.15,0.063,0.048,-0.043,0.141,0.012,-0.012,Mass,0.677,,,Radial Velocity,1.015,0.051,-0.051,0.98,0.016,-0.016,2026-04-27,NASA Exoplanet Archive — pscomppars
61 Vir b,61 Vir,b,3,0.050201,5e-06,-5e-06,4.215,0.0006,-0.0006,0.12,0.11,-0.11,0.016,0.002,-0.002,Msini,0.188,,,Radial Velocity,0.942,0.034,-0.029,0.963,0.011,-0.011,2026-04-27,NASA Exoplanet Archive — pscomppars
61 Vir c,61 Vir,c,3,0.2175,0.0001,-0.0001,38.021,0.034,-0.034,0.14,0.06,-0.06,0.057,0.003,-0.003,Msini,0.398,,,Radial Velocity,0.942,0.034,-0.029,0.963,0.011,-0.011,2026-04-27,NASA Exoplanet Archive — pscomppars
61 Vir d,61 Vir,d,3,0.476,0.001,-0.001,123.01,0.55,-0.55,0.35,0.09,-0.09,0.072,0.008,-0.008,Msini,0.456,,,Radial Velocity,0.942,0.034,-0.029,0.963,0.011,-0.011,2026-04-27,NASA Exoplanet Archive — pscomppars
AU Mic b,AU Mic,b,4,0.07,0.006,-0.007,8.463446,5e-06,-5e-06,0.07,0.09,-0.04,0.0282857,0.00821198,-0.00840076,Mass,0.42733591,0.02587211,-0.02587211,Transit,0.635,0.04,-0.07,0.862,0.052,-0.052,2026-04-27,NASA Exoplanet Archive — pscomppars
AU Mic c,AU Mic,c,4,0.119,0.011,-0.011,18.859023,2.2e-05,-2.4e-05,0.18,0.08,-0.07,0.04549625,0.01019418,-0.01076052,Mass,0.24890756,0.01605855,-0.01516641,Transit,0.635,0.04,-0.07,0.862,0.052,-0.052,2026-04-27,NASA Exoplanet Archive — pscomppars
AU Mic d,AU Mic,d,4,,,,12.73596,0.00793,-0.00793,0.00305,0.00104,-0.00104,0.00331,0.00161,-0.00161,Mass,0.0912,,,Transit Timing Variations,0.51,0.028,-0.027,0.744,0.023,-0.021,2026-04-27,NASA Exoplanet Archive — pscomppars
Barnard b,Barnard's star,b,4,0.0229,0.0003,-0.0003,3.1542,0.0004,-0.0004,0.03,0.03,-0.02,0.00094076,8.181e-05,-8.181e-05,Msini,0.0642,,,Radial Velocity,0.162,0.007,-0.007,0.185,0.006,-0.006,2026-04-27,NASA Exoplanet Archive — pscomppars
Barnard c,Barnard's star,c,4,0.0274,0.0004,-0.0004,4.1244,0.0006,-0.0006,0.08,0.06,-0.05,0.00105403,9.439e-05,-9.439e-05,Msini,0.0663,,,Radial Velocity,0.162,0.007,-0.007,0.185,0.006,-0.006,2026-04-27,NASA Exoplanet Archive — pscomppars
Barnard d,Barnard's star,d,4,0.0188,0.0003,-0.0003,2.3402,0.0003,-0.0003,0.04,0.05,-0.03,0.00082749,7.551e-05,-7.551e-05,Msini,0.062,,,Radial Velocity,0.162,0.007,-0.007,0.185,0.006,-0.006,2026-04-27,NASA Exoplanet Archive — pscomppars
Barnard e,Barnard's star,e,4,0.0381,0.0005,-0.0005,6.7392,0.003,-0.003,0.04,0.03,-0.04,0.00060725,0.00010383,-0.00010383,Msini,0.0568,,,Radial Velocity,0.162,0.007,-0.007,0.185,0.006,-0.006,2026-04-27,NASA Exoplanet Archive — pscomppars
CoRoT-7 b,CoRoT-7,b,3,0.017016,0.00017,-3.6e-05,0.85359163,6e-09,-6e-09,0.0,,,0.01282637,0.00320869,-0.00320869,Mass,0.15,0.01,-0.01,Transit,0.82,0.17,-0.17,0.83,0.04,-0.04,2026-04-27,NASA Exoplanet Archive — pscomppars
