hostname,st_age,st_ageerr1,st_ageerr2,st_age_reflink,_pull_date
2MASS J19383260+4603591,,,,,2026-05-11
47 UMa,6.48,1.44,-1.04,<a refstr=TAKEDA_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJS..168..297T/abstract target=ref> Takeda et al. 2007</a>,2026-05-11
55 Cnc,10.0,2.5,-2.5,<a refstr=MOUTOU_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...705A.190M/abstract target=ref>Moutou et al. 2026</a>,2026-05-11
55 Cnc B,10.0,,,<a refstr=MOUTOU_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...705A.190M/abstract target=ref>Moutou et al. 2026</a>,2026-05-11
61 Vir,8.96,2.76,-3.08,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,2026-05-11
AU Mic,0.019,0.01,-0.006,<a refstr=MALLORQUIN_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...689A.132M/abstract target=ref>Mallorqu&iacute;n et al. 2024</a>,2026-05-11
Barnard's star,,,,,2026-05-11
CoRoT-7,1.8,0.5,-0.6,<a refstr=JOHN_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.515.3975J/abstract target=ref>John et al. 2022</a>,2026-05-11
DMPP-1,2.01,0.54,-0.54,<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>,2026-05-11
DMPP-2,2.0,0.3,-0.3,<a refstr=HASWELL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..408H/abstract target=ref>Haswell et al. 2020</a>,2026-05-11
EPIC 206024342,,,,,2026-05-11
EPIC 249893012,9.0,0.5,-0.6,<a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>,2026-05-11
GJ 1061,7.0,0.5,-0.5,<a refstr=DREIZLER_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...698A.114D/abstract target=ref>Dreizler et al. 2025</a>,2026-05-11
GJ 163,6.0,4.0,-4.0,<a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.111T/abstract target=ref> Tuomi et al. 2013 </a>,2026-05-11
GJ 180,,,,,2026-05-11
GJ 3138,,,,,2026-05-11
GJ 3293,,,,,2026-05-11
GJ 357,,,,,2026-05-11
GJ 367,,,,,2026-05-11
GJ 3998,8.38,4.06,-4.06,<a refstr=STEFANOV_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...695A..62S/abstract target=ref>Stefanov et al. 2025</a>,2026-05-11
GJ 433,,,,,2026-05-11
GJ 581,4.3,,,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...723..954V/abstract target=ref>Vogt et al. 2010</a>,2026-05-11
GJ 667 C,2.0,,,<a refstr=ANGLADA_ESCUDE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.126A/abstract target=ref> Anglada-Escude et al. 2013 </a>,2026-05-11
GJ 676 A,,,,,2026-05-11
GJ 876,1.0,,,<a refstr=RIVERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...719..890R/abstract target=ref> Rivera et al. 2010 </a>,2026-05-11
GJ 887,2.9,8.0,-2.2,<a refstr=HARTOGH_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...707A..93H/abstract target=ref>Hartogh et al. 2026</a>,2026-05-11
GJ 9827,5.465,4.058,-4.058,<a refstr=PIAULET_GHORAYEB_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...974L..10P/abstract target=ref>Piaulet-Ghorayeb et al. 2024</a>,2026-05-11
HD 10180,4.3,0.5,-0.5,<a refstr=LOVIS_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...528A.112L/abstract target=ref> Lovis et al. 2011 </a>,2026-05-11
HD 108236,6.7,4.0,-5.1,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,2026-05-11
HD 110067,8.1,4.0,-4.0,<a refstr=LUQUE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023Natur.623..932L/abstract target=ref>Luque et al. 2023</a>,2026-05-11
HD 11506,2.5,0.9,-0.9,<a refstr=RUGGIERI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...689A.235R/abstract target=ref>Ruggieri et al. 2024</a>,2026-05-11
HD 125612,1.77,1.24,-1.24,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,2026-05-11
