analysis,host,mass,bin,n_planets,observed,null_mean,null_sd,residual,accepted,attempts
full,55 Cnc,1.015,G,5,25.0,15.5,16.101385881769833,9.5,2000,2000
full,61 Vir,0.942,G,3,0.0,24.05,24.988191308144458,-24.05,2000,2000
full,AU Mic,0.635,K,3,100.0,91.075,19.410892982631985,8.924999999999997,2000,2000
full,Barnard's star,0.162,M,4,100.0,87.78333333333333,19.216425900803966,12.216666666666669,2000,2000
full,CoRoT-7,0.82,K,3,0.0,39.775,32.438025336692,-39.775,2000,2000
full,DMPP-1,1.21,F,4,100.0,75.0,23.961969386453355,25.0,2000,2000
full,DMPP-2,1.41,F,3,50.0,62.525,28.280280446471277,-12.524999999999999,2000,2000
full,EPIC 206024342,0.928,G,3,0.0,32.2,25.66104527532562,-32.2,2000,2000
full,EPIC 249893012,1.05,G,3,50.0,41.8,27.076310001210295,8.200000000000003,2000,2000
full,GJ 1061,0.12,M,3,50.0,68.8,36.67059266201041,-18.799999999999997,2000,2000
full,GJ 163,0.4,M,3,50.0,15.875,23.28100894911654,34.125,2000,2000
full,GJ 180,0.43,M,3,50.0,58.95,37.52467922281799,-8.950000000000003,2000,2000
full,GJ 3138,0.681,K,3,0.0,15.925,23.300554347835988,-15.925,2000,2000
full,GJ 3293,0.42,M,4,100.0,61.54999999999998,27.29006507144275,38.45000000000002,2000,2000
full,GJ 357,0.342,M,3,50.0,33.9,27.49851057861172,16.1,2000,2000
full,GJ 3998,0.52,M,3,50.0,31.7,26.181152120622603,18.3,2000,2000
full,GJ 433,0.48,M,3,0.0,10.1,20.07963136608586,-10.1,2000,2000
full,GJ 581,0.295,M,3,50.0,54.825,39.6390590516633,-4.825000000000003,2000,2000
full,GJ 676 A,0.626,K,3,0.0,10.4,20.298916794043613,-10.4,2000,2000
full,GJ 887,0.495,M,4,66.66666666666666,61.399999999999984,25.217325637579243,5.266666666666673,2000,2000
full,GJ 9827,0.62,K,3,100.0,63.25,25.73458051566333,36.75,2000,2000
full,HD 108236,0.869,K,5,100.0,80.1625,18.610058056879893,19.837500000000006,2000,2000
full,HD 110067,0.798,K,6,100.0,93.71,11.040690577324051,6.290000000000006,2000,2000
full,HD 125612,1.05,G,3,0.0,1.7,9.063723050588475,-1.7,2000,2000
full,HD 134606,1.046,G,5,0.0,39.5875,19.57891750724176,-39.5875,2000,2000
full,HD 136352,0.87,K,3,100.0,43.1,31.86530556654721,56.9,2000,2000
